name,address,rating,price_level,types,website,phone,number of ratings,business_status,,
Subway,"271 South Main Street, Philippi",3.8,1,"meal_takeaway, restaurant, food, point_of_interest, establishment",https://restaurants.subway.com/united-states/wv/phillipi/271-s-main-street?utm_source=yxt-goog&utm_medium=local&utm_term=acq&utm_content=10263&utm_campaign=evergreen-2020&y_source=1_MTQ5MDgyOTktNzE1LWxvY2F0aW9uLndlYnNpdGU%3D,(304) 457-2099,131,OPERATIONAL,,
Fox's Pizza Den,"466 South Main Street, Philippi",3.6,1,"meal_delivery, restaurant, food, point_of_interest, establishment",http://www.foxspizza.com/,(304) 457-5000,119,OPERATIONAL,,
Laurel Mountain Inn,"303 Crim Avenue, Belington",4.6,1,"restaurant, food, point_of_interest, establishment",https://m.facebook.com/pages/category/American-Restaurant/Laurel-Mountain-Inn-385997574746974/,(304) 823-3184,223,OPERATIONAL,,
Medallion Restaurant,"12 South Main Street, Philippi",4.3,1,"restaurant, food, point_of_interest, establishment",https://www.facebook.com/medallionrestaurant/,(304) 457-3463,255,OPERATIONAL,,
Subway,"806 Crim Avenue, Belington",4,1,"meal_takeaway, restaurant, food, point_of_interest, establishment",https://restaurants.subway.com/united-states/wv/belington/806-crim-ave?utm_source=yxt-goog&utm_medium=local&utm_term=acq&utm_content=41041&utm_campaign=evergreen-2020&y_source=1_MTQ4OTU5NjQtNzE1LWxvY2F0aW9uLndlYnNpdGU%3D,(304) 823-3233,74,OPERATIONAL,,
Dianne's Restaurant,"U.S. 250, Belington",4.7,1,"restaurant, food, point_of_interest, establishment",https://m.facebook.com/pages/category/American-Restaurant/Diannes-Restaurant-461656753887425/,(304) 823-1776,207,OPERATIONAL,,
7-Eleven - CLOSED - Closed,"38 Mount Nebo Road, Buckhannon",N/A,1,"convenience_store, gas_station, liquor_store, bakery, meal_takeaway, cafe, restaurant, food, point_of_interest, store, establishment",http://www.7-eleven.com/,(304) 472-1698,N/A,OPERATIONAL,,
Dairy King of Philippi,"County Route 250/7, Philippi",4.7,1,"restaurant, food, point_of_interest, store, establishment",,(304) 457-4400,254,OPERATIONAL,,
McDonald's,"121 Blue & Gray Expressway, Philippi",3.6,1,"restaurant, food, point_of_interest, establishment",https://www.mcdonalds.com/us/en-us/location/wv/philippi/121-blue/37045.html,(304) 457-5909,382,OPERATIONAL,,
Hardee’s,"130 South Main Street, Philippi",3.7,1,"restaurant, food, point_of_interest, establishment",https://locations.hardees.com/wv/philippi/130-south-main-street,(304) 457-4766,249,OPERATIONAL,,
Philippi Inn,"14914 Barbour County Highway, Philippi",4.3,2,"restaurant, food, point_of_interest, establishment",,(304) 457-1733,357,OPERATIONAL,,
Sheetz,"125 North Main Street, Philippi",4.1,1,"convenience_store, gas_station, liquor_store, car_wash, cafe, restaurant, food, point_of_interest, store, establishment",https://orderz.sheetz.com/#/main/location/store/171,(304) 457-3885,31,OPERATIONAL,,
King's New York,"568 South Main Street, Philippi",4.5,N/A,"restaurant, food, point_of_interest, establishment",https://kingspizzaphilippi.com/,(304) 457-1010,11,OPERATIONAL,,
Lil' Moe's,"31 North Main Street, Philippi",4.3,2,"bar, restaurant, food, point_of_interest, establishment",http://lil-moes.poi.place/,(304) 457-2680,273,OPERATIONAL,,
Margarita's Mexican Grill and Cantina,"77 North Main Street, Philippi",4.2,1,"bar, restaurant, food, point_of_interest, establishment",https://margaritas-mexican-grill-and-cantina.business.site/,(304) 457-5050,216,OPERATIONAL,,
Chinese Restaurant,"92 North Main Street, Philippi",4,N/A,"restaurant, food, point_of_interest, establishment",,(304) 457-9881,51,OPERATIONAL,,
Hot Dog Hut,"26 Mansfield Drive, Philippi",4.4,1,"restaurant, food, point_of_interest, establishment",,(304) 457-3200,63,OPERATIONAL,,
Grumpyz Pizza and Deli,"438 Mansfield Drive, Philippi",4.2,1,"restaurant, food, point_of_interest, establishment",https://www.grumpyzpizzaanddeli.com/,(304) 457-0201,47,OPERATIONAL,,
Heiner Hall Cafeteria,"7 College Hill Road, Philippi",3.8,N/A,"restaurant, food, point_of_interest, establishment",,(304) 457-6233,20,OPERATIONAL,,
Sheetz,"221 North Crim Avenue, Belington",4.1,1,"convenience_store, gas_station, liquor_store, car_wash, cafe, restaurant, food, point_of_interest, store, establishment",https://orderz.sheetz.com/#/main/location/store/174,(304) 823-2006,39,OPERATIONAL,,
Barb's,"56 Morgantown Pke, Belington",4.4,N/A,"restaurant, food, point_of_interest, establishment",https://m.facebook.com/Barbsrestaurantwv/,(304) 823-1833,226,OPERATIONAL,,
Hometown Pizzeria,"101 Crim Avenue, Belington",4.6,2,"meal_delivery, restaurant, food, point_of_interest, establishment",,(304) 823-1000,274,OPERATIONAL,,
Moore Family Bakery,"119 Greystone Court, Belington",5,N/A,"restaurant, food, point_of_interest, establishment",,(304) 704-2385,5,OPERATIONAL,,
The Lodge Lakefront Dining,"1240 County Route 9/7, Grafton",4.5,N/A,"restaurant, food, point_of_interest, establishment",,(304) 265-6144,111,OPERATIONAL,,
Tygart Shores Dining,"1240 Paul E. Malone Road, Grafton",3.7,N/A,"restaurant, food, point_of_interest, establishment",,,22,CLOSED_TEMPORARILY,,
Iron Stable XX,"183 Row Avenue, Belington",4.8,N/A,"bar, restaurant, food, point_of_interest, establishment",,(304) 606-8076,34,OPERATIONAL,,
Subway,"1325 Edwin Miller Boulevard, Martinsburg",3.9,1,"meal_takeaway, restaurant, food, point_of_interest, establishment",https://restaurants.subway.com/united-states/wv/martinsburg/1325-edwin-miller-blvd?utm_source=yxt-goog&utm_medium=local&utm_term=acq&utm_content=6612&utm_campaign=evergreen-2020&y_source=1_MTQ4OTkxNjMtNzE1LWxvY2F0aW9uLndlYnNpdGU%3D,(304) 267-2117,132,OPERATIONAL,,
Logan's Roadhouse,"115 Retail Commons Parkway, Martinsburg",4,2,"bar, meal_takeaway, restaurant, food, point_of_interest, establishment",https://logansroadhouse.com/locations/us/wv/martinsburg/115-retail-commons-parkway/,(304) 264-1500,1870,OPERATIONAL,,
Subway,"3058 Charles Town Road, Kearneysville",4.2,1,"meal_takeaway, restaurant, food, point_of_interest, establishment",https://restaurants.subway.com/united-states/wv/kearneysville/3058-charles-town-road?utm_source=yxt-goog&utm_medium=local&utm_term=acq&utm_content=36986&utm_campaign=evergreen-2020&y_source=1_MTQ4OTk5MTYtNzE1LWxvY2F0aW9uLndlYnNpdGU%3D,(304) 262-9292,113,OPERATIONAL,,
Subway,"3790 Hedgesville Road Suite M, Hedgesville",4,1,"meal_takeaway, restaurant, food, point_of_interest, establishment",https://restaurants.subway.com/united-states/wv/hedgesville/3790-hedgesville-road?utm_source=yxt-goog&utm_medium=local&utm_term=acq&utm_content=29310&utm_campaign=evergreen-2020&y_source=1_MTQ5MTUwNzQtNzE1LWxvY2F0aW9uLndlYnNpdGU%3D,(304) 754-0060,62,OPERATIONAL,,
Subway,"1619 West King Street, Martinsburg",3.8,1,"meal_takeaway, restaurant, food, point_of_interest, establishment",https://restaurants.subway.com/united-states/wv/martinsburg/1619-w-king-st?utm_source=yxt-goog&utm_medium=local&utm_term=acq&utm_content=19577&utm_campaign=evergreen-2020&y_source=1_MTQ4OTc5ODEtNzE1LWxvY2F0aW9uLndlYnNpdGU%3D,(304) 264-2753,70,CLOSED_TEMPORARILY,,
Subway,"4803 Gerrardstown Road Suite 4, Inwood",3.4,1,"meal_takeaway, restaurant, food, point_of_interest, establishment",https://restaurants.subway.com/united-states/wv/inwood/4803-gerradstown-rd?utm_source=yxt-goog&utm_medium=local&utm_term=acq&utm_content=27877&utm_campaign=evergreen-2020&y_source=1_MTQ5MTEwNDQtNzE1LWxvY2F0aW9uLndlYnNpdGU%3D,(304) 229-6779,150,OPERATIONAL,,
Subway,"7670 Martinsburg Pike, Shepherdstown",4.1,1,"meal_takeaway, restaurant, food, point_of_interest, establishment",https://restaurants.subway.com/united-states/wv/shepherdstown/7670-martinsburg-pike?utm_source=yxt-goog&utm_medium=local&utm_term=acq&utm_content=29568&utm_campaign=evergreen-2020&y_source=1_MTQ5MTE2ODYtNzE1LWxvY2F0aW9uLndlYnNpdGU%3D,(304) 876-1227,41,OPERATIONAL,,
Press Room,"129 West German Street, Shepherdstown",4.6,3,"restaurant, food, point_of_interest, establishment",https://pressroomwv.com/,(304) 876-8777,386,OPERATIONAL,,
Buffalo Wild Wings,"796 Foxcroft Avenue Suite 205, Martinsburg",3.8,2,"bar, meal_takeaway, restaurant, food, point_of_interest, establishment","https://www.buffalowildwings.com/locations/us/wv/martinsburg/796-foxcroft-avenue,-suite-205/sports-bar-543?utm_source=google%20my%20business&utm_medium=organic&utm_campaign=website%20link",(304) 264-9453,1449,OPERATIONAL,,
Subway,"5680 Hammonds Mill Road, Martinsburg",4.2,1,"meal_takeaway, restaurant, food, point_of_interest, establishment",https://restaurants.subway.com/united-states/wv/martinsburg/5680-hammonds-mill-rd?utm_source=yxt-goog&utm_medium=local&utm_term=acq&utm_content=41818&utm_campaign=evergreen-2020&y_source=1_MTQ4OTcyNjQtNzE1LWxvY2F0aW9uLndlYnNpdGU%3D,(304) 274-1880,37,OPERATIONAL,,
